Código modular,Código de institución,Nombre de IE,Nivel / Modalidad,Tipo de Gestión,Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo),Docentes (Censo educativo),Secciones (Censo educativo),GeoLocation
313759,22308459.0,40498,Primaria,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,Arequipa / Islay / Cocachacra,20.0,2.0,5.0,"-17.0929,-71.7594"
313767,22283367.0,40499,Primaria,Pública de gestión directa,Sector Educación,CALLE SANTA MARIA S/N,Arequipa / Islay / Cocachacra,3.0,1.0,3.0,"-17.0879,-71.7533"
313775,22308114.0,40500,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL,Arequipa / Islay / Cocachacra,9.0,1.0,6.0,"-17.0928,-71.7593"
313791,22283286.0,40502,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,Arequipa / Islay / Cocachacra,4.0,2.0,2.0,"-17.0878,-71.7532"
610659,23530686.0,CHUCARAPI,Secundaria,Pública de gestión directa,Sector Educación,CALLE VILLA HERMOSA,Arequipa / Islay / Cocachacra,150.0,16.0,7.0,"-17.0877,-71.7551"
637397,22308297.0,40491,Primaria,Pública de gestión directa,Sector Educación,CARRETERA QUELGUA GRANDE S/N,Arequipa / Islay / Cocachacra,4.0,1.0,4.0,"-17.0933,-71.7568"
745984,23532255.0,40518,Primaria,Pública de gestión directa,Sector Educación,CARRETERA PANAMERICANA SUR KM 1040,Arequipa / Islay / Cocachacra,29.0,3.0,6.0,"-17.0892,-71.7614"
844753,26268109.0,JESUS DE NAZARETH,Primaria,Privada,Particular,CALLE DEAN VALDIVIA S/N MZ B8 LOTE 04,Arequipa / Islay / Cocachacra,115.0,7.0,7.0,"-17.0899,-71.7620"
890996,26268109.0,JESUS DE NAZARETH,Inicial - Jardín,Privada,Particular,CALLE DEAN VALDIVIA S/N MZ B8 LOTE 04,Arequipa / Islay / Cocachacra,31.0,3.0,3.0,"-17.0913,-71.7593"
1344233,26268109.0,JESUS DE NAZARETH,Secundaria,Privada,Particular,CALLE DEAN VALDIVIA S/N MZ B8 LOTE 04,Arequipa / Islay / Cocachacra,70.0,9.0,4.0,"-17.0913,-71.7612"
1344266,22306881.0,VALLE ARRIBA DE TAMBO,Secundaria,Pública de gestión directa,Sector Educación,CALLE UNION MZ K LOTE 08,Arequipa / Islay / Cocachacra,35.0,11.0,5.0,"-17.0900,-71.7542"
1302769,22305719.0,EL FISCAL,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVIS EL FISCAL S/N,Arequipa / Islay / Cocachacra,18.0,2.0,3.0,"-17.0836,-71.7621"
1503602,,SANTA MARIA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,DELIA R. ALVAREZ MZ A LOTE 6,Arequipa / Islay / Cocachacra,10.0,0.0,3.0,"-17.0855,-71.7551"
1503605,,MI INFANCIA FELIZ,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,Arequipa / Islay / Cocachacra,5.0,0.0,3.0,"-17.0836,-71.7553"
